Count,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Churn_Probability,Predicted_Churn,Actual_Churn,Risk_Segment
1,95254,38.192608,-120.957842,Female,No,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.1,1122.4,0,68,3157,0.7101773883302922,1,0,High
1,92129,32.961064,-117.134917,Male,No,Yes,Yes,37,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,40.2,1525.35,0,48,2308,0.021759061517762673,0,0,Low
1,95602,38.99003,-121.114408,Female,No,Yes,Yes,30,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),51.2,1561.5,1,79,4568,0.08751643816853746,0,1,Low
1,92082,33.25283,-116.986079,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,76,4157,0.7895516271722811,1,1,High
1,90504,33.867257,-118.330794,Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.0,209.1,1,88,3190,0.6313820181410995,1,1,Medium
1,92220,33.936298,-116.849577,Male,No,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.35,1730.35,1,68,4718,0.5668619271446841,1,1,Medium
1,93105,34.037342,-119.80079,Male,No,No,No,9,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.25,576.95,0,40,4366,0.24562793647854592,0,0,Low
1,94705,37.858898,-122.240512,Male,No,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.55,1898.1,0,27,6305,0.003621760647761643,0,0,Low
1,95073,37.023669,-121.946461,Female,No,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.2,1401.4,0,53,5261,0.0008318376277085735,0,0,Low
1,92284,34.159534,-116.425984,Female,No,No,No,4,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,64.4,253.0,0,61,3334,0.4871706859483403,1,0,Medium
1,92675,33.521447,-117.602555,Male,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.3,49.3,0,45,4209,0.4502120706396385,1,0,Medium
1,93215,35.772244,-119.209689,Female,No,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),103.25,5037.55,1,71,4736,0.2598499682742882,0,1,Low
1,94533,38.287136,-122.02711,Male,No,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.95,59.25,0,64,3172,0.2648873436580268,0,0,Low
1,95651,38.815515,-120.916997,Female,Yes,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.95,2869.85,1,82,5165,0.45318986165847763,1,1,Medium
1,90220,33.88151,-118.234451,Male,No,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.5,173.0,0,33,5508,0.24254707940622156,0,0,Low
1,92384,35.924252,-116.188668,Male,No,Yes,Yes,55,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),55.25,3119.9,0,42,5821,0.004386439390704877,0,0,Low
1,90026,34.078991,-118.263804,Male,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,79,4986,0.008322852974905169,0,0,Low
1,94558,38.489789,-122.27011,Male,Yes,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.75,6383.35,1,91,5052,0.3192087263006318,0,1,Low
1,96023,41.949216,-122.050062,Female,Yes,Yes,No,48,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),58.95,2789.7,0,49,4815,0.07348245563335748,0,0,Low
1,92130,32.957195,-117.202542,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,69.1,1,82,5795,0.710196419753935,1,1,High
1,93906,36.722898,-121.633648,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.75,19.75,0,33,4441,0.2990782694067646,0,0,Low
1,93305,35.391733,-118.984109,Male,No,Yes,No,66,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.3,4189.7,0,60,4186,0.03979472093578645,0,0,Low
1,90720,33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,76,3964,0.31536360307184036,0,1,Low
1,95540,40.584991,-124.121504,Male,No,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.4,268.45,0,61,5625,0.6328776642221103,1,0,Medium
1,90071,34.052917,-118.255178,Female,No,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,55.25,1620.2,0,55,5481,0.17238512030532127,0,0,Low
1,93932,35.989792,-121.055933,Male,No,Yes,No,61,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,62.15,3778.85,0,59,6427,0.04134328943519984,0,0,Low
1,93603,36.64545,-118.924982,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.6,20.6,1,90,3618,0.24499513049405544,0,1,Low
1,93907,36.77462,-121.664714,Male,No,No,No,11,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),45.2,492.0,0,39,5253,0.29776342131293365,0,0,Low
1,90720,33.79499,-118.065591,Female,No,Yes,No,44,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,61.5,2722.2,0,21,2059,0.05153618071471729,0,0,Low
1,93516,34.95703,-117.73045,Male,No,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.25,855.1,0,46,2282,0.010073058751266531,0,0,Low
1,95476,38.25485,-122.461799,Male,No,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.2,7530.8,0,71,6060,0.0265116541679419,0,0,Low
1,91709,33.942895,-117.725644,Male,No,No,No,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),97.65,6687.85,0,37,5319,0.052856905310829455,0,0,Low
1,93625,36.625792,-119.672483,Female,No,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.85,1049.6,0,36,6338,0.006379501237855035,0,0,Low
1,95670,38.602723,-121.279913,Male,No,No,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.2,5290.45,0,44,6005,0.04670589764816347,0,0,Low
1,92545,33.734933,-117.044145,Male,No,Yes,No,64,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,70.15,4480.7,0,49,5037,0.04438184831556445,0,0,Low
1,95469,39.408634,-123.045516,Female,No,Yes,No,59,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,80.1,4693.2,0,26,4093,0.10469944608256322,0,0,Low
1,95219,38.029729,-121.387999,Female,No,Yes,No,70,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.45,5950.2,0,54,5950,0.015193850065080132,0,0,Low
1,95660,38.671295,-121.388251,Female,No,Yes,No,48,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,65.65,3094.65,0,67,5427,0.1054215301786258,0,0,Low
1,95432,39.108252,-123.645121,Male,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.3,92.75,0,33,5870,0.4198924417407591,1,0,Medium
1,93907,36.77462,-121.664714,Female,No,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.1,682.1,0,21,2272,0.008052447760771074,0,0,Low
1,93239,35.996923,-120.000951,Female,Yes,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.5,5621.85,0,57,4499,0.41292129494938373,1,0,Medium
1,90063,34.044271,-118.185237,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,69,5302,0.28389267347951447,0,1,Low
1,91601,34.1692,-118.372498,Female,No,Yes,Yes,23,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),91.1,2198.3,0,71,5991,0.02554160919692241,0,0,Low
1,92708,33.712036,-117.950113,Female,No,Yes,No,23,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Mailed check,34.6,813.45,0,73,4445,0.07949545348628224,0,0,Low
1,95128,37.316146,-121.936285,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.8,49.8,0,24,2978,0.3681767804605812,0,0,Low
1,95627,38.834469,-122.127193,Female,No,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.85,647.5,0,51,4843,0.23168735070825822,0,0,Low
1,90290,34.115192,-118.61017,Female,No,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.8,1119.9,0,59,4681,0.0016976841939446241,0,0,Low
1,93901,36.64152,-121.622188,Male,No,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,469.8,1,87,4160,0.7344944158135017,1,1,High
1,92285,34.341737,-116.539416,Female,No,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),35.05,844.45,0,69,2754,0.010394381452871236,0,0,Low
1,94525,38.049292,-122.228415,Male,No,Yes,Yes,25,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.3,1296.8,0,63,3971,0.0335004832970035,0,0,Low
1,91962,32.800671,-116.483363,Male,No,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.7,1558.7,0,39,2071,0.609564118002113,1,0,Medium
1,92333,34.274846,-116.937581,Male,No,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),105.5,7611.55,0,25,5534,0.04147489923624873,0,0,Low
1,92626,33.678591,-117.905471,Male,No,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.25,1077.95,0,51,4432,0.0036566556846879344,0,0,Low
1,92532,33.705836,-117.318204,Female,No,Yes,Yes,11,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.0,581.7,0,49,5777,0.06489175275812228,0,0,Low
1,94305,37.424342,-122.165641,Male,No,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.4,1061.6,0,53,4194,0.001829440527474804,0,0,Low
1,93529,37.730269,-119.055813,Female,No,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.3,470.6,0,43,3630,0.11498111168983416,0,0,Low
1,95650,38.809175,-121.171375,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.3,1643.25,0,43,5160,0.0007426966410015779,0,0,Low
1,93501,35.097323,-118.171288,Female,No,No,No,44,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,2139.1,0,42,5790,0.15779512460119863,0,0,Low
1,90250,33.914775,-118.348083,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.55,1867.7,0,40,6425,0.0008282885184337713,0,0,Low
1,93924,36.414611,-121.6386,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.25,74.25,1,93,4750,0.7095179026017278,1,1,High
1,93441,34.70434,-120.02609,Female,No,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,0,37,5795,0.01236364471180575,0,0,Low
1,91411,34.17847,-118.459472,Female,Yes,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.6,2718.3,1,66,3980,0.46821375646820096,1,1,Medium
1,95076,36.931654,-121.752383,Female,No,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.6,1678.05,0,66,5294,0.004027147078083317,0,0,Low
1,94588,37.685052,-121.912061,Male,Yes,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1893.95,1,65,2377,0.619178318077507,1,1,Medium
1,95667,38.733714,-120.795213,Male,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,98.9,1064.95,0,50,4614,0.477371110311127,1,0,Medium
1,90263,34.037037,-118.705803,Female,No,No,No,39,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),41.15,1700.9,0,67,3445,0.04007770076143577,0,0,Low
1,93105,34.037342,-119.80079,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.85,6562.9,0,50,6046,0.020886233144247635,0,0,Low
1,90008,34.008293,-118.346766,Female,No,No,No,48,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,44.8,2104.55,0,26,2469,0.16892288963368549,0,0,Low
1,93283,35.55647,-118.244914,Male,No,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.75,487.05,0,43,4117,0.028896466231176973,0,0,Low
1,94569,38.035707,-122.196821,Male,No,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.15,537.35,0,51,4004,0.014798869991160259,0,0,Low
1,93616,36.657462,-119.595293,Female,No,No,No,34,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),67.65,2339.3,0,40,4263,0.03204335279443488,0,0,Low
1,92408,34.084909,-117.258107,Female,Yes,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.25,2351.8,1,76,5154,0.6471888846141938,1,1,Medium
1,96113,40.198234,-120.18089,Female,No,Yes,No,46,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check,70.6,3231.05,0,52,5433,0.03477621315688496,0,0,Low
1,93562,35.74837,-117.384948,Female,No,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.85,1326.35,0,54,6342,0.000553344479057728,0,0,Low
1,92139,32.677716,-117.047666,Male,No,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.35,3161.4,0,33,4898,0.336272769125028,0,0,Low
1,90020,34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,78,5925,0.28347076763615675,0,1,Low
1,90026,34.078991,-118.263804,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,70.25,0,58,4063,0.7167350541735754,1,0,High
1,92553,33.923149,-117.244933,Male,No,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),96.6,2684.35,0,43,5530,0.5170185558023737,1,0,Medium
1,93701,36.749403,-119.787574,Male,No,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.45,1440.75,0,56,5095,0.08710502014318923,0,0,Low
1,91381,34.364153,-118.615583,Female,Yes,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,1,67,5118,0.6866837082646579,1,1,Medium
1,92252,34.167236,-116.281511,Male,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.7,419.4,0,56,2120,0.04579025870841267,0,0,Low
1,93225,34.827662,-118.999073,Female,Yes,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.4,5749.8,0,64,4005,0.3831629406471415,0,0,Low
1,95203,37.954089,-121.329761,Male,No,No,No,57,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),74.35,4317.35,0,71,5548,0.033365388711946435,0,0,Low
1,90404,34.026334,-118.474222,Female,Yes,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,113.65,7714.65,0,46,6146,0.1165710250835327,0,0,Low
1,90040,33.994524,-118.149953,Male,No,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),65.65,4664.5,0,47,4934,0.0041971427946882085,0,0,Low
1,95954,39.933852,-121.584371,Female,No,No,Yes,46,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,4391.25,0,46,2405,0.1285202280236917,0,0,Low
1,90803,33.760458,-118.129725,Female,No,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,0,58,3123,0.18965116419679728,0,0,Low
1,92404,34.183286,-117.221722,Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,0,50,6202,0.01929573977597584,0,0,Low
1,96120,38.735789,-119.85798,Female,No,No,Yes,4,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,57.2,223.75,0,26,2421,0.1970256326198734,0,0,Low
1,90710,33.798266,-118.300237,Male,No,Yes,Yes,8,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.4,475.1,0,62,4854,0.21524392346464732,0,0,Low
1,93239,35.996923,-120.000951,Male,No,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.3,4451.85,0,60,3927,0.0771603193999259,0,0,Low
1,92570,33.787298,-117.320676,Male,No,Yes,Yes,20,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.6,939.8,0,68,3235,0.10606096753038449,0,0,Low
1,92843,33.764018,-117.931507,Female,No,No,No,34,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,64.4,2088.75,1,75,5189,0.055974528585739196,0,1,Low
1,93402,35.279984,-120.824288,Female,No,No,No,2,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,54.35,117.05,0,71,4916,0.44904921657331465,1,0,Medium
1,95427,39.239818,-123.565432,Male,No,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,89.0,1820.45,1,78,4594,0.6605524796673113,1,1,Medium
1,93268,35.184837,-119.402525,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.1,71.1,0,64,3029,0.5875778338398054,1,0,Medium
1,94111,37.801776,-122.402293,Male,Yes,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,1013.35,0,66,3771,0.7294858273637882,1,0,High
1,92882,33.819385,-117.600213,Female,No,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.4,5127.95,1,99,4804,0.5625920379743954,1,1,Medium
1,93610,37.100948,-120.270136,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.25,20.25,0,69,5854,0.3076667557501052,0,0,Low
1,95370,37.982716,-120.343732,Male,No,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.0,1850.65,0,49,5233,0.5747582021642713,1,0,Medium
1,93666,36.545353,-119.338535,Male,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.2,917.45,0,35,3136,0.002854362848650471,0,0,Low
1,94002,37.509366,-122.306132,Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),97.75,6991.6,0,46,4054,0.009319348897235485,0,0,Low
1,95709,38.748316,-120.675512,Male,No,No,Yes,23,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,40.1,857.75,0,24,2327,0.011687956056848968,0,0,Low
1,93205,35.523991,-118.400432,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,1,99,4996,0.7898517400395744,1,1,High
1,90815,33.797638,-118.11662,Male,No,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.15,3369.25,0,37,3194,0.47357630215906704,1,0,Medium
1,92253,33.695532,-116.310571,Male,No,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.8,1468.75,0,9,5368,0.003003834705954903,0,0,Low
1,95470,39.298065,-123.25211,Male,Yes,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),84.45,5899.85,0,25,5856,0.026100512076331583,0,0,Low
1,95610,38.69508,-121.271616,Female,Yes,No,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,2276.95,1,90,2091,0.40237634590449034,1,1,Medium
1,90744,33.782068,-118.262263,Male,No,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.2,954.9,0,80,4419,0.034046301696817216,0,0,Low
1,94595,37.862128,-122.075197,Female,No,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.8,255.55,0,28,5751,0.012053998260843853,0,0,Low
1,95421,38.578807,-123.19338,Female,No,Yes,No,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),103.2,5744.35,0,34,4534,0.13197550757968887,0,0,Low
1,92103,32.747484,-117.166877,Female,No,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,100.45,4941.8,1,90,4235,0.2751058987605497,0,1,Low
1,90602,33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,67,2793,0.18840245049244378,0,1,Low
